gene	Median	class	Mean	stdev	Predicted_0.4
AT2G25540	0.697259628	unknown	0.688581285	0.105624553	SM
AT1G78320	0.926894972	unknown	0.916641327	0.043926227	SM
AT1G75890	0.897695679	unknown	0.889442039	0.064384104	SM
AT3G26290	0.808933071	unknown	0.808594333	0.071102058	SM
AT3G07850	0.749169692	unknown	0.726005609	0.13646398	SM
AT5G61700	0.688527296	unknown	0.679416524	0.099675445	SM
AT1G03495	0.596042064	unknown	0.601132534	0.148634477	SM
AT5G62180	0.57502791	unknown	0.570444312	0.131544329	SM
AT1G66910	0.780726596	unknown	0.756153459	0.134182261	SM
AT3G55090	0.663774605	unknown	0.671853715	0.101033965	SM
AT4G35970	0.823991181	unknown	0.815408543	0.090167144	SM
AT3G28200	0.76891072	unknown	0.757085198	0.099009278	SM
AT3G28345	0.613460404	unknown	0.617014693	0.107750238	SM
AT4G18180	0.637145842	unknown	0.634540171	0.121684919	SM
AT4G13310	0.809194265	unknown	0.79918676	0.11167577	SM
AT5G28510	0.7195813	unknown	0.725521531	0.100729099	SM
AT5G24410	0.4274462	unknown	0.43964031	0.133499983	SM
AT4G33840	0.421373693	unknown	0.429670992	0.146254041	SM
AT3G14550	0.740917159	unknown	0.720543125	0.152755537	SM
AT2G07671	0.475010746	unknown	0.481522972	0.175853477	SM
AT1G09500	0.89289549	unknown	0.887574241	0.052761278	SM
AT2G18230	0.484339586	unknown	0.488480057	0.077471521	SM
AT1G01580	0.790493995	unknown	0.755273006	0.160535663	SM
ATMG00410	0.469437325	unknown	0.457006213	0.148704544	SM
AT2G15460	0.827941208	unknown	0.782509639	0.159980548	SM
AT1G29890	0.399476757	unknown	0.423919352	0.185002947	SM
AT2G47120	0.824751214	unknown	0.813247807	0.092399155	SM
AT2G14750	0.589818414	unknown	0.591148285	0.088231308	SM
AT4G21000	0.42333637	unknown	0.443637123	0.181439442	SM
AT4G26220	0.437803874	unknown	0.444183449	0.078783434	SM
AT3G52780	0.829284793	unknown	0.815534703	0.087215546	SM
AT2G04440	0.586574658	unknown	0.580566753	0.106832842	SM
AT3G46660	0.968881225	unknown	0.962480446	0.02208904	SM
AT2G02010	0.85664189	unknown	0.822106997	0.126555456	SM
AT1G66110	0.484618636	unknown	0.493997114	0.106994219	SM
AT3G03240	0.627807751	unknown	0.631971194	0.081146243	SM
AT5G53370	0.721959142	unknown	0.710339528	0.099865878	SM
AT1G62900	0.562522961	unknown	0.56039481	0.164099186	SM
AT1G73270	0.851417	unknown	0.840031688	0.081844978	SM
AT4G09740	0.394108312	unknown	0.419541862	0.161762937	SM
AT5G58400	0.786859481	unknown	0.778650591	0.088921727	SM
AT4G34650	0.428674278	unknown	0.441074548	0.12240268	SM
AT2G36760	0.941345748	unknown	0.935861138	0.038564577	SM
AT5G20390	0.894516999	unknown	0.879457505	0.068499132	SM
AT3G48310	0.680836289	unknown	0.666431815	0.166615272	SM
AT3G14680	0.960451586	unknown	0.954609498	0.032919031	SM
AT3G46120	0.384093021	unknown	0.400875501	0.156858924	SM
AT2G33870	0.636698346	unknown	0.627640653	0.138489675	SM
AT5G20960	0.524079645	unknown	0.517598675	0.105030409	SM
AT1G04600	0.513249944	unknown	0.511796742	0.127643422	SM
AT5G01330	0.860910741	unknown	0.821536361	0.130117855	SM
AT3G21750	0.961272024	unknown	0.95543773	0.028766066	SM
AT5G27530	0.721399595	unknown	0.716802076	0.112800353	SM
AT3G15060	0.394625303	unknown	0.411919677	0.125563427	SM
AT1G75940	0.782358861	unknown	0.780246427	0.098444503	SM
AT3G15800	0.712920473	unknown	0.710925876	0.121042468	SM
AT1G18200	0.483028962	unknown	0.493063673	0.126581795	SM
AT5G35917	0.837705751	unknown	0.802414317	0.13639963	SM
AT3G14040	0.39830092	unknown	0.409065171	0.158851062	SM
AT3G28390	0.72659179	unknown	0.718613616	0.089602579	SM
AT5G63990	0.547114236	unknown	0.552775351	0.107235639	SM
AT5G07410	0.859935557	unknown	0.813934163	0.130533465	SM
AT3G18820	0.424666235	unknown	0.442195073	0.127985489	SM
AT5G41240	0.57590416	unknown	0.578649977	0.117080553	SM
AT5G37690	0.845630987	unknown	0.821442856	0.087475935	SM
AT3G19000	0.845313555	unknown	0.842638101	0.067036061	SM
AT4G22753	0.544097304	unknown	0.532334038	0.095568868	SM
AT5G58700	0.488149757	unknown	0.486618913	0.118600849	SM
AT3G21080	0.851758392	unknown	0.833276877	0.073521653	SM
AT2G23220	0.87680342	unknown	0.85341217	0.10338941	SM
AT1G74460	0.856972287	unknown	0.834873994	0.085351482	SM
AT1G72110	0.463508664	unknown	0.46124015	0.095856488	SM
AT1G60530	0.493545392	unknown	0.496588459	0.09412715	SM
AT4G29740	0.431758771	unknown	0.440874223	0.090132018	SM
AT1G64900	0.940816311	unknown	0.935385489	0.038614779	SM
AT4G25980	0.790927336	unknown	0.784178201	0.096602594	SM
AT5G05340	0.829268629	unknown	0.825935035	0.074465732	SM
AT3G14225	0.854980946	unknown	0.831326556	0.102697909	SM
AT4G37330	0.934154925	unknown	0.929720382	0.034849157	SM
AT5G53010	0.430794986	unknown	0.437713471	0.154339348	SM
AT5G46540	0.696796937	unknown	0.697012664	0.09316049	SM
AT1G04350	0.779208349	unknown	0.769277916	0.088961456	SM
AT1G68620	0.819417449	unknown	0.804443507	0.081577825	SM
AT4G30550	0.546994165	unknown	0.541493294	0.120424431	SM
AT3G20940	0.698266695	unknown	0.683794168	0.153202533	SM
AT3G55100	0.669610626	unknown	0.672676144	0.105508595	SM
AT2G22980	0.622268315	unknown	0.622615031	0.090936231	SM
AT4G39490	0.828482427	unknown	0.812662212	0.087184657	SM
AT4G12330	0.953504581	unknown	0.943424913	0.039323377	SM
AT4G20830	0.741012902	unknown	0.73073147	0.090964479	SM
AT3G26180	0.734920042	unknown	0.706183764	0.164844832	SM
AT3G51440	0.864648001	unknown	0.858239568	0.071658451	SM
AT5G14450	0.633363789	unknown	0.63083512	0.106942386	SM
AT4G29570	0.68772332	unknown	0.68679119	0.095424875	SM
AT1G65670	0.781604608	unknown	0.764385291	0.113507972	SM
AT3G57620	0.393494967	unknown	0.402042204	0.083023336	SM
AT1G54020	0.938330713	unknown	0.923122998	0.046550658	SM
AT1G14190	0.533031593	unknown	0.539615745	0.161091843	SM
AT3G01190	0.887165014	unknown	0.877327791	0.067836316	SM
AT3G21370	0.511076824	unknown	0.514263875	0.089745917	SM
AT1G06250	0.388507027	unknown	0.404013701	0.093578553	SM
AT3G47170	0.764006994	unknown	0.750454947	0.115332681	SM
AT3G23570	0.545023489	unknown	0.553697038	0.076028543	SM
AT3G23470	0.681669617	unknown	0.658428879	0.163156108	SM
AT5G51500	0.76164213	unknown	0.755363596	0.102524188	SM
AT1G68490	0.532011376	unknown	0.521650434	0.067264087	SM
AT3G05180	0.616860358	unknown	0.621923553	0.113179633	SM
AT1G66800	0.747991368	unknown	0.735099833	0.108040713	SM
AT1G65060	0.679853258	unknown	0.681593891	0.086782695	SM
AT4G09462	0.598269077	unknown	0.579098754	0.167213593	SM
AT3G16175	0.460330852	unknown	0.463369148	0.085961555	SM
AT5G51310	0.887687918	unknown	0.876857435	0.069685303	SM
AT5G41130	0.747885928	unknown	0.741264573	0.115994573	SM
AT3G28360	0.779670227	unknown	0.769896121	0.079030469	SM
AT3G21780	0.959378792	unknown	0.956383922	0.026512801	SM
AT4G27420	0.671572873	unknown	0.66239154	0.117596245	SM
AT1G32950	0.585091204	unknown	0.586494592	0.118631811	SM
AT4G22690	0.450185423	unknown	0.468990892	0.161227781	SM
AT1G01980	0.740729997	unknown	0.730977534	0.109155157	SM
AT1G03940	0.668304344	unknown	0.654539844	0.120648047	SM
AT5G65730	0.417391999	unknown	0.402256033	0.137073272	SM
AT3G62820	0.430834885	unknown	0.442168231	0.138223603	SM
AT2G24800	0.833291031	unknown	0.82009479	0.091490913	SM
AT1G02550	0.402097191	unknown	0.407666002	0.08120478	SM
AT2G43620	0.867328206	unknown	0.854900345	0.070470608	SM
AT5G45340	0.721576192	unknown	0.710993536	0.089187893	SM
AT1G14080	0.578631225	unknown	0.5643516	0.092840339	SM
AT3G48320	0.725716151	unknown	0.71501209	0.139725723	SM
AT4G19640	0.384044319	unknown	0.401541419	0.136016632	SM
AT2G44450	0.708901709	unknown	0.717232729	0.099024395	SM
AT1G04220	0.781734828	unknown	0.773229452	0.08669392	SM
AT4G08190	0.70536338	unknown	0.688287764	0.138518054	SM
AT1G78970	0.524092925	unknown	0.510229766	0.108620148	SM
AT2G47130	0.845496517	unknown	0.839312403	0.084914693	SM
AT1G19250	0.417899149	unknown	0.418015019	0.092936081	SM
AT5G17200	0.735363185	unknown	0.735001702	0.088706441	SM
AT4G16270	0.623985191	unknown	0.614413607	0.10633228	SM
AT2G19060	0.910666221	unknown	0.896071007	0.059425605	SM
AT1G51990	0.700119361	unknown	0.694876263	0.108191774	SM
AT1G64590	0.685171818	unknown	0.685574591	0.100781701	SM
AT3G02590	0.454490669	unknown	0.465531586	0.125618799	SM
AT5G37990	0.847223525	unknown	0.835646638	0.079383848	SM
AT3G03190	0.744031852	unknown	0.742637218	0.081089998	SM
AT3G20130	0.95497927	unknown	0.941403879	0.042498876	SM
AT5G03620	0.61914659	unknown	0.627854255	0.127881226	SM
AT1G28670	0.866553112	unknown	0.839575546	0.118721641	SM
AT5G43660	0.522086597	unknown	0.517185196	0.17050861	SM
AT5G37960	0.695671272	unknown	0.699775179	0.099286033	SM
AT4G15230	0.505483867	unknown	0.520944719	0.127379746	SM
AT4G09465	0.598269077	unknown	0.579098754	0.167213593	SM
AT1G25230	0.524243702	unknown	0.536893073	0.094607635	SM
AT5G17820	0.884922077	unknown	0.856746314	0.089274604	SM
AT2G02380	0.451905682	unknown	0.461906257	0.09462035	SM
AT5G18210	0.714861911	unknown	0.708786422	0.116327902	SM
AT3G61210	0.434946023	unknown	0.44009436	0.097741569	SM
AT4G03210	0.523716411	unknown	0.524080447	0.113894738	SM
AT5G45960	0.632418752	unknown	0.641266153	0.109436103	SM
AT5G53990	0.959522571	unknown	0.948120172	0.037507623	SM
AT5G66460	0.509893715	unknown	0.512091456	0.084204588	SM
AT1G75300	0.745986581	unknown	0.745171069	0.086353905	SM
AT3G04000	0.856805063	unknown	0.853173418	0.070307984	SM
AT1G05200	0.662228083	unknown	0.660114891	0.102595668	SM
AT4G29270	0.484613486	unknown	0.490899686	0.105126183	SM
AT1G28610	0.901218964	unknown	0.894889947	0.052408701	SM
AT1G26380	0.878275776	unknown	0.871260587	0.062091764	SM
AT1G80170	0.603893421	unknown	0.584783076	0.102242527	SM
AT1G49860	0.776373139	unknown	0.776821994	0.082048812	SM
AT2G22330	0.9405776	unknown	0.927341097	0.046396749	SM
AT3G26300	0.938243621	unknown	0.929530586	0.037231753	SM
AT5G44840	0.793044685	unknown	0.778632241	0.136107174	SM
AT5G56590	0.546801642	unknown	0.538359079	0.123469332	SM
AT4G32210	0.432007059	unknown	0.434905415	0.149432053	SM
AT4G27570	0.902352726	unknown	0.877373578	0.094113774	SM
AT2G39640	0.852714553	unknown	0.845095052	0.077763948	SM
AT4G30170	0.860477888	unknown	0.855598372	0.07144005	SM
AT1G58265	0.577232946	unknown	0.575803297	0.161391959	SM
AT4G32870	0.481195098	unknown	0.483119633	0.087813074	SM
AT1G28580	0.911374507	unknown	0.905399406	0.055846307	SM
AT1G77780	0.836288318	unknown	0.831714523	0.086717206	SM
AT4G29260	0.470294837	unknown	0.454061435	0.107626798	SM
AT5G56870	0.695384481	unknown	0.69464688	0.094759664	SM
AT1G51470	0.927685071	unknown	0.899949572	0.081290281	SM
AT3G45800	0.420383733	unknown	0.413071222	0.133863386	SM
AT1G30740	0.755524647	unknown	0.736887431	0.116442117	SM
AT2G12190	0.842388411	unknown	0.835344112	0.078614603	SM
AT2G43050	0.752136679	unknown	0.746684864	0.086563691	SM
AT1G70680	0.410260397	unknown	0.443021208	0.185095716	SM
AT2G33240	0.48939272	unknown	0.495701003	0.123466684	SM
AT1G47620	0.745414037	unknown	0.750146266	0.103405627	SM
AT1G66060	0.570559568	unknown	0.565110523	0.136422227	SM
AT4G33870	0.752490215	unknown	0.750323653	0.099101054	SM
AT2G37130	0.81467233	unknown	0.808482712	0.077999644	SM
AT5G43450	0.957083331	unknown	0.948713717	0.038601175	SM
AT1G49570	0.773213471	unknown	0.757564233	0.100653921	SM
AT1G32860	0.751250224	unknown	0.756621972	0.10401986	SM
AT4G00190	0.735521835	unknown	0.737621141	0.112054122	SM
AT3G43570	0.722072021	unknown	0.696805946	0.179071803	SM
AT1G20490	0.881877979	unknown	0.864709516	0.069935861	SM
AT5G01930	0.464716942	unknown	0.454869995	0.118434278	SM
AT3G53480	0.834857221	unknown	0.822037212	0.084429062	SM
AT2G29480	0.926251274	unknown	0.919010354	0.045160258	SM
AT1G05310	0.65267156	unknown	0.649961554	0.120059648	SM
AT5G13350	0.786655165	unknown	0.787049042	0.084131271	SM
AT5G66430	0.799405666	unknown	0.78860216	0.095102792	SM
AT1G06830	0.656030388	unknown	0.65717035	0.119340859	SM
AT3G18070	0.694406616	unknown	0.686827985	0.105358123	SM
AT4G16165	0.537266641	unknown	0.526000968	0.164564811	SM
AT3G59850	0.582709844	unknown	0.575129136	0.123658118	SM
AT3G14660	0.957177837	unknown	0.946542054	0.033704225	SM
AT1G61120	0.64632926	unknown	0.646179361	0.087010513	SM
AT2G47670	0.737347118	unknown	0.744709259	0.096770442	SM
AT4G16740	0.83950453	unknown	0.829392581	0.074044868	SM
AT3G48580	0.806212024	unknown	0.790705496	0.088042828	SM
AT3G29190	0.764472101	unknown	0.75560264	0.104903307	SM
AT5G65550	0.913417552	unknown	0.899560732	0.0553067	SM
AT4G39950	0.923832288	unknown	0.915007649	0.042736915	SM
AT2G15310	0.64644282	unknown	0.641935442	0.122533846	SM
AT1G73290	0.875046509	unknown	0.862669265	0.066886911	SM
AT3G43860	0.649284035	unknown	0.632565597	0.103798677	SM
AT4G34980	0.414697298	unknown	0.419631131	0.105890667	SM
AT4G08770	0.91746022	unknown	0.904613251	0.059671349	SM
AT5G36790	0.425163173	unknown	0.432889755	0.126922963	SM
AT3G61400	0.842371121	unknown	0.824741467	0.088371291	SM
AT1G66250	0.614875437	unknown	0.617972801	0.098297929	SM
AT2G02000	0.785291389	unknown	0.776821247	0.109323635	SM
AT5G24550	0.730690387	unknown	0.737186698	0.093152535	SM
AT5G25900	0.667903592	unknown	0.659507226	0.096250876	SM
AT3G24190	0.57483556	unknown	0.57614033	0.10903903	SM
AT4G21960	0.566538345	unknown	0.564436306	0.110115635	SM
AT5G38000	0.483332176	unknown	0.487421679	0.188643288	SM
AT1G02590	0.457941524	unknown	0.476809132	0.16863546	SM
ATMG01080	0.455591575	unknown	0.442964	0.159207388	SM
AT3G13090	0.682318802	unknown	0.669913739	0.117965989	SM
AT5G56300	0.792408278	unknown	0.789810951	0.085359898	SM
AT4G20230	0.804152608	unknown	0.795909939	0.080513065	SM
AT2G45550	0.943238351	unknown	0.934519922	0.036352471	SM
AT1G70710	0.770042802	unknown	0.759519088	0.08931217	SM
AT1G01570	0.505346012	unknown	0.507994542	0.096647547	SM
AT5G11650	0.440543572	unknown	0.437054275	0.109233934	SM
AT1G76470	0.755345814	unknown	0.750725459	0.09647822	SM
AT1G09460	0.745668258	unknown	0.738939621	0.104898004	SM
AT1G66000	0.629289399	unknown	0.608081114	0.161237952	SM
AT1G06000	0.930369858	unknown	0.924727864	0.042139381	SM
AT3G26190	0.910272275	unknown	0.906304877	0.049780347	SM
AT4G18430	0.690174044	unknown	0.680267658	0.13523402	SM
AT4G39000	0.832256156	unknown	0.824052311	0.08695331	SM
AT5G59150	0.405207198	unknown	0.437856329	0.14230234	SM
AT4G15396	0.897239342	unknown	0.877191201	0.090606127	SM
AT1G06360	0.735317575	unknown	0.702858853	0.130000735	SM
AT2G43820	0.952627386	unknown	0.941455459	0.040499206	SM
AT5G47000	0.760629325	unknown	0.758632587	0.10682441	SM
AT4G33230	0.76629995	unknown	0.746505038	0.11460427	SM
AT5G20710	0.552056855	unknown	0.553723415	0.11989225	SM
AT2G38390	0.420443313	unknown	0.437855296	0.168232208	SM
AT5G67430	0.414275113	unknown	0.413521645	0.101117221	SM
AT4G29900	0.797117759	unknown	0.787244751	0.08980846	SM
AT4G23600	0.664248384	unknown	0.66772663	0.096062811	SM
AT5G48010	0.703244274	unknown	0.703410377	0.089169557	SM
AT1G06020	0.65652638	unknown	0.649879692	0.111057286	SM
AT2G38240	0.884076096	unknown	0.871575337	0.0680433	SM
AT4G26010	0.848775397	unknown	0.839474759	0.087406869	SM
AT1G62620	0.901695322	unknown	0.862338017	0.109012999	SM
AT1G32100	0.500624326	unknown	0.510896017	0.090195419	SM
AT5G19880	0.79411616	unknown	0.795255926	0.094014027	SM
AT5G61160	0.811159964	unknown	0.805551564	0.084855688	SM
AT3G03640	0.407438388	unknown	0.417089998	0.122499652	SM
AT1G66220	0.615321358	unknown	0.617414029	0.134287169	SM
AT4G39350	0.571112426	unknown	0.570196648	0.104982262	SM
AT1G63270	0.404296897	unknown	0.419093799	0.169967562	SM
AT5G64000	0.485360067	unknown	0.484613503	0.081610309	SM
AT1G43080	0.784292884	unknown	0.764449029	0.134455082	SM
AT4G15360	0.937892304	unknown	0.922426414	0.052426463	SM
AT1G31710	0.409286945	unknown	0.405316649	0.074565467	SM
AT4G32380	0.710871209	unknown	0.711783991	0.146150347	SM
AT3G42960	0.720498965	unknown	0.71973203	0.106490945	SM
AT1G14550	0.781908833	unknown	0.772914599	0.095716158	SM
AT3G25770	0.758075964	unknown	0.736677181	0.15285293	SM
AT1G58180	0.430254403	unknown	0.437195095	0.106079059	SM
AT3G26170	0.8073508	unknown	0.774211461	0.129794385	SM
